image_view,measurement,color_band,mg174386,mg174388,mg174389,mg174391,mg174399,mg174401,mg174403,mg174410,mg174416,mg174417,mg174418,mg174419,mg174420,mg174425,mg174429,mg174432,mm100657,mm100659,mm100660,mm100661,mm100662,mm100664,mm100665,mm100666,mm100667,mm100668,mm100803,mm100804,mm100805,mr100669,mr174380
dorsal,lowdorsal_ns,R,0.2091954289,0.1606732155,0.2340893262,0.2597553205,0.1943502179,0.2247530812,0.1671446476,0.1782753416,0.1882363039,0.2090717129,0.2241340147,0.2022796168,0.2109784466,0.2512500621,0.2115237872,0.1864758779,0.1717165557,0.162631686,0.1403330656,0.1737501661,0.1288841459,0.1837265206,0.1042282269,0.1580264489,0.1673606685,0.1877101063,0.1332308382,0.1589629433,0.1249138008,0.1224548806,0.1967973489
dorsal,lowdorsal_ns,G,0.188134518,0.143087162,0.2091168704,0.2393278381,0.1629089631,0.1982924584,0.1550726498,0.1618275831,0.1668597284,0.1953598571,0.2090598946,0.1727450445,0.1974795708,0.2318719662,0.1953764576,0.1581340474,0.1445001989,0.1391501078,0.1129148742,0.1473061123,0.1197415646,0.1544265574,0.09114977753,0.1513658105,0.1424833386,0.159973571,0.1214129153,0.1440821742,0.1076355682,0.09263966969,0.1475276957
dorsal,lowdorsal_ns,B,0.04911591392,0.03792561039,0.05304165818,0.05791924011,0.03152055761,0.04604478333,0.04172174985,0.04572999169,0.03972286401,0.05987285227,0.06062972145,0.03930367377,0.06269929281,0.05574476361,0.05638909692,0.0337372243,0.03903216114,0.0627030039,0.02511943695,0.04357433066,0.04154225148,0.04170653961,0.02566852641,0.05488993879,0.03703349602,0.04210151665,0.03805680511,0.0456377317,0.02911474943,0.01273215995,0.01577609772
dorsal,stripe,R,0.1447340693,0.07912239081,0.1546070243,0.2119896791,0.1617000346,0.1867845651,0.1178751027,0.1450060115,0.1003363952,0.1723474111,0.1789775862,0.1521801565,0.1644870743,0.1751405443,0.158466295,0.1302072187,0.1223749686,0.1265951571,0.1261527211,0.1286564152,0.1103161081,0.1701436389,0.0939317299,0.1280858065,0.1618929926,0.1432596614,0.1312897826,0.1510486245,0.1358167672,0.09518639955,0.139724125
dorsal,stripe,G,0.1253415838,0.06060626688,0.123891769,0.1817854864,0.1237231443,0.153098452,0.1030931388,0.1218961577,0.07395988369,0.1449359697,0.1451527981,0.1141280461,0.1425915768,0.146363386,0.1320084241,0.1036557016,0.09660265551,0.1038928598,0.0972223088,0.1035871264,0.0993987755,0.1364704697,0.08241527799,0.1197966884,0.1347477234,0.1155275045,0.1151685898,0.1281306252,0.1185093548,0.06672124365,0.1008785057
dorsal,stripe,B,0.03118741875,0.01378620788,0.02693117115,0.03925524235,0.02024683696,0.02733448724,0.02532730886,0.02844743184,0.01232503412,0.03122511853,0.0300288546,0.01765300122,0.03409228817,0.02694597983,0.02671833214,0.02032104939,0.02546076496,0.04110287795,0.02101795832,0.02814191991,0.03431227509,0.0335076766,0.02416636676,0.0407686413,0.03328585622,0.03078698734,0.03546478173,0.03641504527,0.03338310407,0.007599676467,0.01175739275
ventral,ventral_patch,R,0.7892875687,0.7963598819,0.7306019495,0.5920665923,0.6016496611,0.6713751728,0.4884751781,0.6215537102,0.5553169855,0.5333524269,0.5724559776,0.6402976586,0.5408063614,0.5827436623,0.7969077669,0.6571448483,0.3223304211,0.3695225529,0.4115313815,0.4796999005,0.3243299422,0.3977229939,0.3099134433,0.3818668605,0.3869204845,0.3384280747,0.3401746277,0.3364323525,0.3980950732,0.2733298235,0.2940750986
ventral,ventral_patch,G,0.8312145474,0.771292416,0.7617437524,0.6229271168,0.6153236349,0.6943272306,0.5190113519,0.6297232678,0.5590407515,0.5479013229,0.5951100259,0.6687352027,0.5643145629,0.6102712133,0.8030504846,0.6720384793,0.3588885103,0.3991276383,0.4154452988,0.5342171125,0.3301479928,0.4090722629,0.3205399966,0.4211774911,0.4012308787,0.3579635583,0.3514809288,0.3603214846,0.4181318901,0.2699625488,0.2704824252
ventral,ventral_patch,B,0.3488605711,0.2378080149,0.2566724994,0.2398098725,0.2402127152,0.2760042862,0.2063747255,0.2216493057,0.2151407624,0.2094515523,0.2268357328,0.3146528118,0.2346228175,0.2142669432,0.2751566724,0.2479272571,0.1877218555,0.2210284816,0.1387730374,0.25328885,0.1171117725,0.1592701758,0.1232818435,0.1837502643,0.1340364822,0.1525873513,0.1279395014,0.1678919856,0.1568784617,0.07079797132,0.06478573786
ventral,tail,R,0.1846963817,0.1679838402,0.2888417036,0.1750725216,0.2170875962,0.3878870226,0.1910424606,0.3608722686,0.2885870877,0.3705407239,0.2825688261,0.2032632586,0.2463270272,0.303956291,0.4335299764,0.2768843539,0.1413209922,0.235079834,0.1837372177,0.2397453788,0.1412268051,0.2764890972,0.05581816235,0.1848081352,0.3330020177,0.2429107655,0.1469253422,0.1939073908,0.1326525847,0.1556804991,0.1222962078
ventral,tail,G,0.1353593445,0.1335089176,0.2350957883,0.1413259894,0.1728022144,0.2836728181,0.1447688201,0.2764056452,0.2318442922,0.3018549508,0.2277738417,0.1522014545,0.1817205877,0.216189221,0.3293172714,0.2242322522,0.1192946963,0.1950999996,0.1395117947,0.200068529,0.1165504602,0.2432401589,0.05011187972,0.1391166308,0.2357757524,0.1703310649,0.129678754,0.1705584172,0.1083305735,0.1096886452,0.09667629246
ventral,tail,B,0.01495626326,0.02111450462,0.02959200114,0.01840433005,0.021482393,0.04305981964,0.0312342229,0.05607243099,0.02825938127,0.05970862703,0.0446102194,0.01708109195,0.02861504173,0.02698385277,0.04942568678,0.02748494427,0.02476558185,0.07957819369,0.03724826774,0.03102455506,0.0473913443,0.05758576357,0.01761583142,0.03193676252,0.03055116839,0.03240819963,0.03404609053,0.03961848421,0.04105670956,0.01732324304,0.01560836689
facial,interorb_er,R,NA,NA,NA,NA,0.4252772612,0.3697759667,NA,0.5360140222,0.423303842,0.4893424982,0.4515116857,0.4072295155,0.3183864114,NA,NA,NA,0.3639314858,0.3029172027,0.1559213894,0.3437017112,0.2201215088,0.3403727884,0.2751987173,0.2831973022,0.3067211941,0.2703332729,0.2065784512,0.3006658799,0.1129868682,0.1994544219,0.2850591549
facial,interorb_er,G,NA,NA,NA,NA,0.4110374013,0.3140852627,NA,0.5440378565,0.4268149479,0.4880151794,0.4595907792,0.3630372322,0.2969879558,NA,NA,NA,0.3557256592,0.2954733804,0.1349821439,0.329002018,0.2128947982,0.3189631495,0.2570697949,0.2783641783,0.2886427702,0.2527568715,0.1937943887,0.2926651354,0.1003150763,0.174204652,0.2333465731
facial,interorb_er,B,NA,NA,NA,NA,0.1210482988,0.0745302632,NA,0.1709828296,0.1457979256,0.1646998214,0.1665447181,0.07107157913,0.1046852009,NA,NA,NA,0.1294566288,0.1067701934,0.03291073225,0.1043318487,0.08600687311,0.106997408,0.07799158978,0.1001013174,0.08351548854,0.0680228512,0.06731880794,0.09918356364,0.03278374085,0.0401111232,0.03986870436
facial,supraorb_er,R,NA,NA,NA,NA,0.3157849686,0.4607415853,NA,0.2963072163,0.2174267742,0.2528690687,0.2708576773,0.3536330447,0.2918664925,NA,NA,NA,0.2697974605,0.1620425156,0.1497131893,0.0915823893,0.1221733519,0.1827891034,0.1564812871,0.1053538761,0.1645059815,0.1445724113,0.1427129158,0.1408859925,0.1511400311,0.1141896875,0.1685353707
facial,supraorb_er,G,NA,NA,NA,NA,0.2457891043,0.4338540637,NA,0.2268081863,0.1636407862,0.2013762093,0.2261424785,0.3063212247,0.259394422,NA,NA,NA,0.2006818409,0.1158904874,0.1073933329,0.06345534518,0.09694566956,0.1372785682,0.1156103096,0.0779727563,0.1172227665,0.1100670364,0.1189024298,0.1077656525,0.1206236401,0.07305539765,0.1042986384
facial,supraorb_er,B,NA,NA,NA,NA,0.02731738965,0.1050192569,NA,0.02390808077,0.01508743809,0.02910029696,0.03372639453,0.05774049379,0.08023018184,NA,NA,NA,0.02524003484,0.01783969873,0.01382017819,0.01113099692,0.01853190592,0.02133527329,0.01506886633,0.01342008759,0.01394851373,0.01516163216,0.02182044968,0.01794255838,0.01835382917,0.006530500703,0.005794240329